account_id,account_name,domain,industry,arr_band,region,is_customer,segment_hint
A001,Wavelength AI,wavelengthai.io,Cybersecurity,$1M-$10M,US-Central,True,AI-Native
A002,Dolomite Labs,dolomitelabs.com,Cybersecurity,$1M-$10M,US-East,True,AI-Native
A003,Jute Grid,jutegrid.co,Education,$10M-$50M,US-West,True,AI-Native
A004,Dolomite Vision,dolomitevision.io,Cybersecurity,$10M-$50M,US-Central,True,AI-Native
A005,Pine Cloud,pinecloud.ai,Education,$10M-$50M,US-Central,True,Enterprise-Expansion
A006,Hemp Cloud,hempcloud.com,Logistics,$10M-$50M,EMEA,False,AI-Native
A007,Pulse Labs,pulselabs.ai,FinTech,$1M-$10M,APAC,True,Enterprise-Expansion
A008,Onyx Networks,onyxnetworks.io,E-commerce,$10M-$50M,US-Central,False,Enterprise-Expansion
A009,Zenith Secure,zenithsecure.io,HealthTech,$50M-$250M,APAC,False,Enterprise-Expansion
A010,Myrrh Health,myrrhhealth.com,Cybersecurity,<$1M,US-Central,False,Enterprise-Expansion
A011,Lariat Systems,lariatsystems.dev,InsurTech,$10M-$50M,US-West,False,Enterprise-Expansion
A012,Umber Networks,umbernetworks.ai,HealthTech,$1M-$10M,US-West,False,Enterprise-Expansion
A013,Tarragon Scale,tarragonscale.io,HealthTech,$250M+,US-Central,False,AI-Native
A014,Solace Cloud,solacecloud.io,LegalTech,$50M-$250M,APAC,True,Enterprise-Expansion
A015,Pine Networks,pinenetworks.ai,Logistics,<$1M,APAC,True,Enterprise-Expansion
A016,Fern Cloud,ferncloud.co,HealthTech,$50M-$250M,US-Central,True,Enterprise-Expansion
A017,Yarrow Secure,yarrowsecure.com,HR Tech,$10M-$50M,APAC,False,AI-Native
A018,Nest Secure,nestsecure.dev,InsurTech,<$1M,APAC,False,Enterprise-Expansion
A019,Quanta Cloud,quantacloud.ai,Cybersecurity,<$1M,US-Central,False,AI-Native
A020,Caliber Intelligence,caliberintelligence.dev,LegalTech,$1M-$10M,US-East,False,Enterprise-Expansion
A021,Kudzu Secure,kudzusecure.dev,HR Tech,$250M+,APAC,False,AI-Native
A022,Ipecac Flow,ipecacflow.co,Telecom,$10M-$50M,US-Central,False,Enterprise-Expansion
A023,Parallax Health,parallaxhealth.com,E-commerce,<$1M,US-West,False,AI-Native
A024,Vertex Systems,vertexsystems.io,FinTech,<$1M,US-East,False,AI-Native
A025,Basalt Health,basalthealth.co,Cybersecurity,$250M+,US-Central,False,Enterprise-Expansion
A026,Floe Intelligence,floeintelligence.io,FinTech,<$1M,EMEA,False,Enterprise-Expansion
A027,Dolomite Grid,dolomitegrid.com,Telecom,<$1M,EMEA,True,Enterprise-Expansion
A028,Elm Cloud,elmcloud.io,Cybersecurity,$250M+,APAC,False,AI-Native
A029,Dolomite Secure,dolomitesecure.co,Cybersecurity,<$1M,US-Central,False,AI-Native
A030,Solace Genomics,solacegenomics.com,InsurTech,$1M-$10M,US-East,False,Enterprise-Expansion
A031,Topaz Intelligence,topazintelligence.co,InsurTech,<$1M,US-West,False,Enterprise-Expansion
A032,Nimbus Scale,nimbusscale.co,DevTools,$50M-$250M,US-Central,False,AI-Native
A033,Rivulet Build,rivuletbuild.com,Education,$250M+,US-West,True,Enterprise-Expansion
A034,Beacon Labs,beaconlabs.co,Logistics,$250M+,APAC,False,AI-Native
A035,Almond Systems,almondsystems.com,Education,<$1M,APAC,False,Enterprise-Expansion
A036,Parallax Defense,parallaxdefense.dev,Education,<$1M,US-West,True,Enterprise-Expansion
A037,Tarragon Defense,tarragondefense.ai,InsurTech,$10M-$50M,APAC,False,Enterprise-Expansion
A038,Evergreen Pay,evergreenpay.io,Telecom,$10M-$50M,EMEA,False,Enterprise-Expansion
A039,Zenith AI,zenithai.dev,Education,<$1M,EMEA,True,AI-Native
A040,Zebra Pay,zebrapay.ai,InsurTech,<$1M,US-West,False,Enterprise-Expansion
A041,Plume Secure,plumesecure.dev,Energy,$10M-$50M,EMEA,True,Enterprise-Expansion
A042,Tessera Data,tesseradata.com,InsurTech,<$1M,APAC,False,Enterprise-Expansion
A043,Plume Flow,plumeflow.io,Telecom,$10M-$50M,US-Central,False,Enterprise-Expansion
A044,Catalyst Systems,catalystsystems.ai,AI/ML,<$1M,EMEA,False,AI-Native
A045,Kindred Secure,kindredsecure.dev,Energy,$50M-$250M,EMEA,True,AI-Native
A046,Apex Data,apexdata.com,HR Tech,$10M-$50M,APAC,False,Enterprise-Expansion
A047,Tundra Labs,tundralabs.ai,InsurTech,<$1M,US-Central,False,AI-Native
A048,Garnet Cloud,garnetcloud.dev,InsurTech,$50M-$250M,US-Central,False,AI-Native
A049,Kestrel Secure,kestrelsecure.com,HealthTech,$10M-$50M,APAC,False,AI-Native
A050,Lariat Secure,lariatsecure.co,HR Tech,<$1M,US-East,False,AI-Native
A051,Umbra Networks,umbranetworks.ai,HR Tech,$1M-$10M,US-Central,False,AI-Native
A052,Sable Scale,sablescale.ai,HR Tech,<$1M,US-Central,False,Enterprise-Expansion
A053,Almond Scale,almondscale.ai,AI/ML,<$1M,APAC,False,AI-Native
A054,Saffron Pay,saffronpay.com,Education,$50M-$250M,US-East,False,Enterprise-Expansion
A055,Gossamer Robotics,gossamerrobotics.co,InsurTech,$250M+,US-East,False,Enterprise-Expansion
A056,Pioneer Grid,pioneergrid.dev,InsurTech,$250M+,APAC,False,Enterprise-Expansion
