priority,signal_id,signal_type,account_name,domain,region,signal_score,recommended_action,possible_matches,why_now
P1,SIG049,usage_spike,Urchin Secure,urchinsecure.com,APAC,67.4,"DATA FIX FIRST: payload says is_customer=true but the company is missing from accounts.csv — repair billing↔CRM linkage, then route as expansion",A059 Pine Secure; A099 Fern Secure,"+315% vs baseline, 15,235 req/7d"
P1,SIG035,competitor_evaluation,Iris Secure,irissecure.dev,US-East,60.3,"Net-new company not in CRM — create account, assign to US-East SDR/owner",A258 Zinnia Secure; A050 Lariat Secure,Together AI: comparison search
P1,SIG021,usage_spike,Meridian Robotics,meridianrobotics.ai,US-East,59.0,"DATA FIX FIRST: payload says is_customer=true but the company is missing from accounts.csv — repair billing↔CRM linkage, then route as expansion",A207 Umber Robotics; A298 Ember Robotics,"+354% vs baseline, 40,160 req/7d"
P2,SIG034,competitor_evaluation,Russet Defense,russetdefense.co,APAC,51.7,"Net-new company not in CRM — create account, assign to APAC SDR/owner",A168 Tessera Defense; A111 Rosemary Defense,Together AI: pricing page visit
P2,SIG045,usage_spike,Yew Cloud,yewcloud.io,US-Central,51.2,"DATA FIX FIRST: payload says is_customer=true but the company is missing from accounts.csv — repair billing↔CRM linkage, then route as expansion",A028 Elm Cloud; A005 Pine Cloud,"+254% vs baseline, 25,958 req/7d"
P2,SIG032,competitor_evaluation,Lichen Cloud,lichencloud.dev,US-West,45.5,"Net-new company not in CRM — create account, assign to US-West SDR/owner",A098 Urchin Cloud; A014 Solace Cloud,Replicate: docs read
P2,SIG018,usage_spike,Cedar Defense,cedardefense.com,APAC,41.2,"DATA FIX FIRST: payload says is_customer=true but the company is missing from accounts.csv — repair billing↔CRM linkage, then route as expansion",A064 Beryl Defense; A111 Rosemary Defense,"+78% vs baseline, 3,551 req/7d"
P2,SIG012,job_change,Urchin Networks,urchinnetworks.io,US-Central,39.8,"Net-new company not in CRM — create account, assign to US-Central SDR/owner",A015 Pine Networks; A051 Umbra Networks,Avery Smith joined as Staff ML Engineer
P3,SIG013,job_change,Alabaster Data,alabasterdata.io,US-East,39.1,"Net-new company not in CRM — create account, assign to US-East SDR/owner",A167 Alabaster Mind; A116 Alabaster Labs,Morgan Smith joined as Staff ML Engineer
P3,SIG040,competitor_evaluation,Lark Health,larkhealth.dev,US-West,36.5,"Net-new company not in CRM — create account, assign to US-West SDR/owner",A297 Solace Health; A211 Quartz Health,Replicate: docs read
P3,SIG019,job_change,Onyx Genomics,onyxgenomics.dev,US-East,35.7,"Net-new company not in CRM — create account, assign to US-East SDR/owner",A190 Saffron Genomics; A107 Halcyon Genomics,Avery Nguyen departed — contact gone
P3,SIG029,job_change,Vermilion Flow,vermilionflow.co,US-East,33.5,"Net-new company not in CRM — create account, assign to US-East SDR/owner",A148 Vermilion Cloud; A234 Vermilion AI,Avery Garcia departed — contact gone
P3,SIG011,job_change,Saffron Grid,saffrongrid.ai,US-West,33.0,"Net-new company not in CRM — create account, assign to US-West SDR/owner",A241 Saffron Data; A190 Saffron Genomics,Riley Kim departed — contact gone
P3,SIG017,funding_event,Bastion Systems,bastionsystems.co,EMEA,31.5,"Net-new company not in CRM — create account, assign to EMEA SDR/owner",A242 Stride Systems; A035 Almond Systems,Series B $15M
P3,SIG033,intent_topic,Pulse Grid,pulsegrid.co,US-West,26.7,"Net-new company not in CRM — create account, assign to US-West SDR/owner",A003 Jute Grid; A172 Pulse Data,topic 'model serving latency' at 0.35 via web_traffic (ICP topic)
