signal_id,signal_type,account_id,account_name,domain,region,timestamp,severity_hint,detail
SIG001,funding_event,A177,Pioneer Health,pioneerhealth.dev,EMEA,2026-08-11T12:24:00Z,medium,"{""round"": ""Seed Extension"", ""amount_usd_m"": 60, ""announced_date"": ""2026-08-11""}"
SIG002,job_change,A177,Pioneer Health,pioneerhealth.dev,EMEA,2026-08-12T10:51:00Z,high,"{""person"": ""Jordan Kim"", ""new_title"": ""Director of ML Platform"", ""previous_company"": ""Beryl Genomics"", ""direction"": ""arrived""}"
SIG003,funding_event,A196,Thorn Data,thorndata.com,APAC,2026-08-11T12:13:00Z,high,"{""round"": ""Series A"", ""amount_usd_m"": 60, ""announced_date"": ""2026-08-13""}"
SIG004,intent_topic,A196,Thorn Data,thorndata.com,APAC,2026-08-10T12:24:00Z,low,"{""topic"": ""function calling API"", ""source"": ""6sense"", ""intensity_score"": 0.85}"
SIG005,competitor_evaluation,A269,Helix Build,helixbuild.ai,US-East,2026-08-15T18:35:00Z,medium,"{""competitor"": ""Replicate"", ""action"": ""docs_read"", ""days_since_last_signal"": 28}"
SIG006,intent_topic,A269,Helix Build,helixbuild.ai,US-East,2026-08-12T08:13:00Z,medium,"{""topic"": ""function calling API"", ""source"": ""web_traffic"", ""intensity_score"": 0.92}"
SIG007,competitor_evaluation,A164,Lupine Scale,lupinescale.com,EMEA,2026-08-15T11:25:00Z,medium,"{""competitor"": ""Anyscale"", ""action"": ""benchmark_download"", ""days_since_last_signal"": 25}"
SIG008,intent_topic,A164,Lupine Scale,lupinescale.com,EMEA,2026-08-13T15:34:00Z,high,"{""topic"": ""RAG pipeline infrastructure"", ""source"": ""G2"", ""intensity_score"": 0.54}"
SIG009,funding_event,A214,Caliber Robotics,caliberrobotics.com,US-Central,2026-08-13T09:51:00Z,high,"{""round"": ""Series C"", ""amount_usd_m"": 25, ""announced_date"": ""2026-08-13""}"
SIG010,intent_topic,A214,Caliber Robotics,caliberrobotics.com,US-Central,2026-08-13T08:36:00Z,medium,"{""topic"": ""fine-tuning platform"", ""source"": ""Harmonic"", ""intensity_score"": 0.48}"
